File,LipidClass,LipidSpecies,Adduct,Label,CCS
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,AcCa,AcCa 16:1,[M+H],light,208.47
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,AcCa,AcCa 16:1,[M+H],heavy,208.95
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:0;2,[M+H],light,259.41
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:0;2,[M+Na],light,254.71
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:0;2,[M+H],heavy,259.03
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:0;2,[M+Na],heavy,256.58
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;2,[M+H],light,257.48
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;2,[M+Na],light,252.22
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;2,[M+H],heavy,256.55
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;2,[M+Na],heavy,253.54
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:2;2,[M+H],light,257.51
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;3,[M+Na],light,256.23
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;3,[M+H],heavy,261.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:1;3,[M+Na],heavy,258.12
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:2;3,[M+Na],light,252.63
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:2;3,[M+H],heavy,256.13
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 34:2;3,[M+Na],heavy,252.86
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:0;2,[M+H],light,265.48
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:0;2,[M+Na],light,262.48
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:0;2,[M+H],heavy,265.67
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:0;2,[M+Na],heavy,262.13
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:1;2,[M+H],light,263.56
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:1;2,[M+Na],light,259.44
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:1;2,[M+H],heavy,263.19
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:1;2,[M+Na],heavy,259.66
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:2;2,[M+H],light,262.75
C12-C13_undiluted_PASEF_pos_1_Y-C2_1_3566.d,Cer,Cer 36:2;2,[M+Na],light,256.68
