LipidClass,LipidSpecies,Formula,Mz,Polarity,Adduct,U13C_DTCCS,sd_CCS
AcCa,AcCa 16:1,C23H43NO4,421.403646,pos,[M+H],208.19,0.64
AcCa,AcCa 16:1,C23H43NO4,419.389094,neg,[M-H],202.38,0.8
Cer,Cer 34:0;2,C34H69O3N1,574.649086,pos,[M+H],256.18,0.81
Cer,Cer 34:0;2,C34H69O3N1,596.63103,pos,[M+Na],252.11,0.71
Cer,Cer 34:0;2,C34H69O3N1,618.640013,neg,[M+HCOO],255.48,0.9
Cer,Cer 34:1;2,C34H67N1O3,572.633436,pos,[M+H],254.13,0.79
Cer,Cer 34:1;2,C34H67N1O3,594.61538,pos,[M+Na],250.18,0.87
Cer,Cer 34:1;3,C34H67O4N1,588.62835,pos,[M+H],257.07,0.8
Cer,Cer 34:1;3,C34H67O4N1,610.610295,pos,[M+Na],254.16,1.1
Cer,Cer 34:1;3,C34H67O4N1,632.619277,neg,[M+HCOO],257.66,0.88
Cer,Cer 34:2;2,C34H65O3N1,570.617786,pos,[M+H],252.91,0.88
Cer,Cer 34:2;2,C34H65O3N1,592.59973,pos,[M+Na],248.5,1.16
Cer,Cer 34:2;2,C34H65O3N1,614.608713,neg,[M+HCOO],252.23,1.66
Cer,Cer 34:2;3,C34H65O4N1,586.6127,pos,[M+H],254.39,1.08
Cer,Cer 34:2;3,C34H65O4N1,608.594645,pos,[M+Na],251.22,0.6
Cer,Cer 34:2;3,C34H65O4N1,630.603627,neg,[M+HCOO],256.09,1.17
Cer,Cer 36:0;2,C36H73O3N1,604.687096,pos,[M+H],262.6,0.46
Cer,Cer 36:0;2,C36H73O3N1,626.66904,pos,[M+Na],257.74,1.09
Cer,Cer 36:0;2,C36H73O3N1,648.678022,neg,[M+HCOO],262.16,0.86
Cer,Cer 36:0;3,C36H73O4N1,620.68201,pos,[M+H],265.73,1.1
Cer,Cer 36:0;3,C36H73O4N1,642.663955,pos,[M+Na],260.67,0.88
Cer,Cer 36:0;3,C36H73O4N1,664.672937,neg,[M+HCOO],264.04,1.03
Cer,Cer 36:1;2,C36H71N1O3,602.671446,pos,[M+H],260.9,0.88
Cer,Cer 36:1;2,C36H71N1O3,624.65339,pos,[M+Na],256.84,1.01
Cer,Cer 36:1;2,C36H71N1O3,646.662372,neg,[M+HCOO],260.16,1.07
Cer,Cer 36:1;3,C36H71N1O4,618.66636,pos,[M+H],263.69,0.61
Cer,Cer 36:1;3,C36H71N1O4,640.648305,pos,[M+Na],260,0.38
Cer,Cer 36:1;3,C36H71N1O4,662.657287,neg,[M+HCOO],263.07,0.83
Cer,Cer 36:2;2,C36H69O3N1,600.655795,pos,[M+H],260.41,0.62
Cer,Cer 36:2;2,C36H69O3N1,622.63774,pos,[M+Na],255.7,0.68
Cer,Cer 36:2;2,C36H69O3N1,644.646722,neg,[M+HCOO],259.73,0
Cer,Cer 36:2;3,C36H69O4N1,616.65071,pos,[M+H],261.38,0.89
Cer,Cer 36:2;3,C36H69O4N1,638.632655,pos,[M+Na],257.6,0.89
Cer,Cer 36:2;3,C36H69O4N1,660.641637,neg,[M+HCOO],261.99,0.78
Cer,Cer 44:0;4,C44H89O5N1,756.828964,pos,[M+H],291.68,1.1
Cer,Cer 44:0;4,C44H89O5N1,778.810909,pos,[M+Na],291.91,0.82
Cer,Cer 44:0;4,C44H89O5N1,800.819891,neg,[M+HCOO],291.58,0.51
Co,Co Q8,C49H74O4,793.756924,pos,[M+NH4],278.76,0
Co,Co Q8,C49H74O4,798.712319,pos,[M+Na],276.41,0.46
DG,DG 32:1,C35H66O5,619.64227,pos,[M+NH4],255.7,0.71
DG,DG 32:1,C35H66O5,624.597665,pos,[M+Na],253.59,0.64
DG,DG 32:2,C35H64O5,617.62662,pos,[M+NH4],252.49,0.71
DG,DG 32:2,C35H64O5,622.582015,pos,[M+Na],250.56,0.28
DG,DG 33:2,C36H66O5,632.645625,pos,[M+NH4],255.57,1.33
DG,DG 33:2,C36H66O5,637.60102,pos,[M+Na],255.13,0.44
DG,DG 34:1,C37H70O5,649.68028,pos,[M+NH4],262.34,0.47
DG,DG 34:1,C37H70O5,654.635675,pos,[M+Na],260.24,0.71
DG,DG 34:2,C37H68O5,647.66463,pos,[M+NH4],258.95,0.43
DG,DG 34:2,C37H68O5,652.620025,pos,[M+Na],257.84,0.47
DG,DG 34:3 - 1,C37H66O5,645.64898,pos,[M+NH4],253.77,0.51
DG,DG 34:3 - 1,C37H66O5,650.604375,pos,[M+Na],254.18,0.46
DG,DG 34:3 - 2,C37H66O5,645.64898,pos,[M+NH4],255.92,1.12
DG,DG 34:3 - 2,C37H66O5,650.604375,pos,[M+Na],255.12,1.01
DG,DG 34:4,C37H64O5,643.63333,pos,[M+NH4],251.1,0.51
DG,DG 34:4,C37H64O5,648.588725,pos,[M+Na],251.87,0.71
DG,DG 35:1,C38H72O5,664.699285,pos,[M+NH4],265.45,0.94
DG,DG 35:1,C38H72O5,669.65468,pos,[M+Na],263.7,1.02
DG,DG 35:2,C38H70O5,662.683635,pos,[M+NH4],262.06,0.74
DG,DG 35:2,C38H70O5,667.63903,pos,[M+Na],260.32,0.62
DG,DG 35:3,C38H68O5,660.667985,pos,[M+NH4],257.32,0.73
DG,DG 35:3,C38H68O5,665.62338,pos,[M+Na],257.82,0.46
DG,DG 35:4,C38H66O5,658.652335,pos,[M+NH4],255.19,0.46
DG,DG 35:4,C38H66O5,663.60773,pos,[M+Na],255.33,1.1
DG,DG 36:1,C39H74O5,679.71829,pos,[M+NH4],268.81,0.42
DG,DG 36:1,C39H74O5,684.673685,pos,[M+Na],266.9,0.51
DG,DG 36:2,C39H72O5,677.70264,pos,[M+NH4],265.96,0.38
DG,DG 36:2,C39H72O5,682.658035,pos,[M+Na],264.23,0.28
DG,DG 36:3,C39H70O5,675.68699,pos,[M+NH4],261.5,0.38
DG,DG 36:3,C39H70O5,680.642385,pos,[M+Na],261.92,0.43
DG,DG 36:4,C39H68O5,673.67134,pos,[M+NH4],258.48,0.46
DG,DG 36:4,C39H68O5,678.626735,pos,[M+Na],258.98,0
DG,DG 36:5,C39H66O5,671.65569,pos,[M+NH4],254.82,0.43
DG,DG 36:5,C39H66O5,676.611085,pos,[M+Na],255.77,0.46
DG,DG 36:6,C39H64O5,669.64004,pos,[M+NH4],252.42,0.46
DG,DG 36:6,C39H64O5,674.595435,pos,[M+Na],253.28,0.46
HexCer,HexCer 34:2;3,C40H75O9N1,754.685653,pos,[M+H],282.28,0.89
HexCer,HexCer 34:2;3,C40H75O9N1,776.667598,pos,[M+Na],281.36,1.1
HexCer,HexCer 36:1;3,C42H81O9N1,808.721257,pos,[M+Na],288.85,0.62
HexCer,HexCer 36:1;3,C42H81O9N1,830.73024,neg,[M+HCOO],290.71,0.74
HexCer,HexCer 36:2;3 - 1,C42H79O9N1,784.723663,pos,[M+H],288.19,0.47
HexCer,HexCer 36:2;3 - 1,C42H79O9N1,806.705607,pos,[M+Na],287.08,0.46
HexCer,HexCer 36:2;3 - 1,C42H79O9N1,828.714589,neg,[M+HCOO],289.28,0.49
HexCer,HexCer 36:2;3 - 2,C42H79O9N1,828.714589,neg,[M+HCOO],289.72,0.94
HexCer,HexCer 37:2;3,C43H81O9N1,799.742668,pos,[M+H],290.69,0.46
HexCer,HexCer 37:2;3,C43H81O9N1,821.724612,pos,[M+Na],289.3,0.42
HexCer,HexCer 37:2;3,C43H81O9N1,843.733594,neg,[M+HCOO],292.4,0.51
LPC,LPC 16:0,C24H50N1O7P1,520.420282,pos,[M+H],229.55,0.87
LPC,LPC 16:1,C24H48O7N1P1,518.404632,pos,[M+H],224.98,0.68
LPC,LPC 18:0,C26H54N1O7P1,550.458292,pos,[M+H],236.99,1.08
LPC,LPC 18:1,C26H52N1O7P1,548.442642,pos,[M+H],232.22,0.89
LPC,LPC 18:1,C26H52N1O7P1,592.433569,neg,[M+HCOO],242.57,0.52
LPC,LPC 18:2,C26H50N1O7P1,546.426992,pos,[M+H],228.02,0.4
LPC,LPC 18:2,C26H50N1O7P1,568.408937,pos,[M+Na],232.83,1.02
LPC,LPC 18:2,C26H50N1O7P1,590.417919,neg,[M+HCOO],238.82,0.75
LPC,LPC 18:3,C26H48N1O7P1,544.411342,pos,[M+H],223.99,0.43
LPC,LPC 18:3,C26H48N1O7P1,566.393287,pos,[M+Na],228.64,0.84
LPC,LPC 18:3,C26H48N1O7P1,588.402269,neg,[M+HCOO],237.7,1.21
LPE,LPE 18:1,C23H46O7N1P1,501.371075,neg,[M-H],215.35,0.9
LPE,LPE 18:2,C23H44O7N1P1,501.369977,pos,[M+H],212.62,0.48
LPE,LPE 18:2,C23H44O7N1P1,499.355425,neg,[M-H],212.49,0.83
LPE,LPE 18:3,C23H42O7N1P1,497.339775,neg,[M-H],211.61,0.75
PA,PA 34:1,C37H71O8P1,729.646611,pos,[M+NH4],272.28,0.43
PA,PA 34:1,C37H71O8P1,734.602006,pos,[M+Na],268.8,0.48
PA,PA 34:1,C37H71O8P1,710.60551,neg,[M-H],259.23,1.26
PA,PA 34:2,C37H69O8P1,727.630961,pos,[M+NH4],269.26,0.83
PA,PA 34:2,C37H69O8P1,732.586356,pos,[M+Na],267.18,1.49
PA,PA 34:2,C37H69O8P1,708.589859,neg,[M-H],258.17,0.38
PA,PA 34:3,C37H67O8P1,725.615311,pos,[M+NH4],265.98,0.71
PA,PA 34:3,C37H67O8P1,706.574209,neg,[M-H],257.02,0.49
PA,PA 35:2,C38H71O8P1,742.649966,pos,[M+NH4],272.03,1.36
PA,PA 35:2,C38H71O8P1,723.608864,neg,[M-H],261.69,0.62
PA,PA 36:1,C39H75O8P1,759.684621,pos,[M+NH4],278.59,1.01
PA,PA 36:1,C39H75O8P1,764.640016,pos,[M+Na],277.15,0
PA,PA 36:1,C39H75O8P1,740.643519,neg,[M-H],266.43,0.68
PA,PA 36:2,C39H73O8P1,757.668971,pos,[M+NH4],276.42,1.01
PA,PA 36:2,C39H73O8P1,762.624366,pos,[M+Na],274.85,0.49
PA,PA 36:2,C39H73O8P1,738.627869,neg,[M-H],264.29,0.57
PA,PA 36:3,C39H71O8P1,755.653321,pos,[M+NH4],271.47,0.48
PA,PA 36:3,C39H71O8P1,760.608716,pos,[M+Na],271.6,0.44
PA,PA 36:3,C39H71O8P1,736.612219,neg,[M-H],262.3,0.82
PA,PA 36:4,C39H69O8P1,753.637671,pos,[M+NH4],269.06,1.2
PA,PA 36:4,C39H69O8P1,734.596569,neg,[M-H],261.19,0.66
PA,PA 36:5,C39H67O8P1,751.622021,pos,[M+NH4],266.14,1.35
PA,PA 36:5,C39H67O8P1,732.580919,neg,[M-H],259.38,1.46
PC,PC 32:1,C40H78N1O8P1,772.687975,pos,[M+H],281.21,0.46
PC,PC 32:1,C40H78N1O8P1,794.66992,pos,[M+Na],283.32,0.7
PC,PC 32:1,C40H78N1O8P1,816.678902,neg,[M+HCOO],285.89,0.94
PC,PC 32:2,C40H76N1O8P1,770.672325,pos,[M+H],278.1,0.78
PC,PC 32:2,C40H76N1O8P1,792.65427,pos,[M+Na],281.26,0.82
PC,PC 32:2,C40H76N1O8P1,814.663252,neg,[M+HCOO],284.34,1.21
PC,PC 32:3,C40H74N1O8P1,768.656675,pos,[M+H],274.9,0.47
PC,PC 32:3,C40H74N1O8P1,790.63862,pos,[M+Na],277.55,0.82
PC,PC 32:3,C40H74N1O8P1,812.647602,neg,[M+HCOO],283.57,1.13
PC,PC 32:4,C40H72N1O8P1,766.641025,pos,[M+H],272.77,0.78
PC,PC 32:4,C40H72N1O8P1,788.62297,pos,[M+Na],275.52,0.46
PC,PC 32:5,C40H70N1O8P1,764.625375,pos,[M+H],268.89,1.52
PC,PC 33:1,C41H80N1O8P1,787.70698,pos,[M+H],284.06,0.28
PC,PC 33:1,C41H80N1O8P1,809.688925,pos,[M+Na],285.92,0.57
PC,PC 33:1,C41H80N1O8P1,831.697907,neg,[M+HCOO],288.68,0.34
PC,PC 33:2,C41H78N1O8P1,785.69133,pos,[M+H],281.22,0.61
PC,PC 33:2,C41H78N1O8P1,807.673275,pos,[M+Na],283.67,1.04
PC,PC 33:2,C41H78N1O8P1,829.682257,neg,[M+HCOO],287.17,1.49
PC,PC 33:3,C41H76N1O8P1,783.67568,pos,[M+H],278.55,0.6
PC,PC 33:3,C41H76N1O8P1,805.657625,pos,[M+Na],281.11,1
PC,PC 33:3,C41H76N1O8P1,827.666607,neg,[M+HCOO],285.72,1.09
PC,PC 33:4,C41H74N1O8P1,781.66003,pos,[M+H],275.62,0.96
PC,PC 33:4,C41H74N1O8P1,803.641975,pos,[M+Na],278.17,1.74
PC,PC 33:4,C41H74N1O8P1,825.650957,neg,[M+HCOO],283.85,1.62
PC,PC 33:5,C41H72N1O8P1,779.64438,pos,[M+H],273.16,0.67
PC,PC 34:1,C42H82N1O8P1,802.725985,pos,[M+H],287.1,0.46
PC,PC 34:1,C42H82N1O8P1,846.716912,neg,[M+HCOO],291.5,1.21
PC,PC 34:2,C42H80N1O8P1,800.710335,pos,[M+H],284.25,0.38
PC,PC 34:2,C42H80N1O8P1,822.69228,pos,[M+Na],287.33,0.38
PC,PC 34:2,C42H80N1O8P1,844.701262,neg,[M+HCOO],289.72,0.51
PC,PC 34:3,C42H78N1O8P1,798.694685,pos,[M+H],281.77,0.46
PC,PC 34:3,C42H78N1O8P1,820.67663,pos,[M+Na],284.67,0.38
PC,PC 34:3,C42H78N1O8P1,842.685612,neg,[M+HCOO],288.04,0.7
PC,PC 34:4,C42H76N1O8P1,796.679035,pos,[M+H],279.1,0.46
PC,PC 34:4,C42H76N1O8P1,818.66098,pos,[M+Na],281.91,0.43
PC,PC 34:4,C42H76N1O8P1,840.669962,neg,[M+HCOO],286.62,0.46
PC,PC 34:5,C42H74N1O8P1,794.663385,pos,[M+H],275.99,0.28
PC,PC 34:5,C42H74N1O8P1,816.64533,pos,[M+Na],278.54,1.15
PC,PC 34:5,C42H74N1O8P1,838.654312,neg,[M+HCOO],285.21,1.46
PC,PC 34:6,C42H72N1O8P1,792.647735,pos,[M+H],274.21,0.78
PC,PC 34:6,C42H72N1O8P1,814.629679,pos,[M+Na],275.29,0.92
PC,PC 34:6,C42H72N1O8P1,836.638662,neg,[M+HCOO],283.97,0.8
PC,PC 35:1,C43H84N1O8P1,817.74499,pos,[M+H],290.58,1.28
PC,PC 35:2,C43H82N1O8P1,815.72934,pos,[M+H],288.18,0.85
PC,PC 35:2,C43H82N1O8P1,837.711285,pos,[M+Na],290.19,1.07
PC,PC 35:2,C43H82N1O8P1,859.720267,neg,[M+HCOO],292.11,0.57
PC,PC 35:3,C43H80N1O8P1,813.71369,pos,[M+H],285.42,0.46
PC,PC 35:3,C43H80N1O8P1,835.695635,pos,[M+Na],288.42,0.89
PC,PC 35:3,C43H80N1O8P1,857.704617,neg,[M+HCOO],290.45,1.09
PC,PC 35:4,C43H78N1O8P1,811.69804,pos,[M+H],282.58,0.46
PC,PC 35:4,C43H78N1O8P1,833.679984,pos,[M+Na],285.4,0.43
PC,PC 35:4,C43H78N1O8P1,855.688967,neg,[M+HCOO],289.84,1.19
PC,PC 35:5,C43H76N1O8P1,809.68239,pos,[M+H],279.74,0.38
PC,PC 35:5,C43H76N1O8P1,831.664334,pos,[M+Na],282.11,0.59
PC,PC 35:5,C43H76N1O8P1,853.673317,neg,[M+HCOO],289.02,1.16
PC,PC 35:6,C43H74N1O8P1,807.66674,pos,[M+H],276.44,0.63
PC,PC 35:6,C43H74N1O8P1,829.648684,pos,[M+Na],279.05,0.65
PC,PC 35:6,C43H74N1O8P1,851.657667,neg,[M+HCOO],286.79,0.61
PC,PC 36:1,C44H86N1O8P1,832.763995,pos,[M+H],293.52,0.56
PC,PC 36:1,C44H86N1O8P1,854.74594,pos,[M+Na],295.58,0.79
PC,PC 36:1,C44H86N1O8P1,876.754922,neg,[M+HCOO],297.32,0.67
PC,PC 36:2,C44H84N1O8P1,830.748345,pos,[M+H],291.13,0.28
PC,PC 36:2,C44H84N1O8P1,852.73029,pos,[M+Na],293.95,0.62
PC,PC 36:2,C44H84N1O8P1,874.739272,neg,[M+HCOO],295.11,1.09
PC,PC 36:3,C44H82N1O8P1,828.732695,pos,[M+H],288.99,0.43
PC,PC 36:3,C44H82N1O8P1,850.714639,pos,[M+Na],291.55,0.74
PC,PC 36:3,C44H82N1O8P1,872.723622,neg,[M+HCOO],293.84,0.28
PC,PC 36:4,C44H80N1O8P1,826.717045,pos,[M+H],286.33,0.43
PC,PC 36:4,C44H80N1O8P1,848.698989,pos,[M+Na],289.15,0.42
PC,PC 36:4,C44H80N1O8P1,870.707972,neg,[M+HCOO],292.16,0
PC,PC 36:5,C44H78N1O8P1,824.701395,pos,[M+H],283.31,0.43
PC,PC 36:5,C44H78N1O8P1,846.683339,pos,[M+Na],286.4,0.51
PC,PC 36:5,C44H78N1O8P1,868.692322,neg,[M+HCOO],290.48,0.66
PC,PC 36:6,C44H76N1O8P1,822.685745,pos,[M+H],280.29,0.28
PC,PC 36:6,C44H76N1O8P1,844.667689,pos,[M+Na],282.93,0.42
PC,PC 36:6,C44H76N1O8P1,866.676671,neg,[M+HCOO],289.6,0.51
PC,PC 37:2,C45H86O8N1P1,845.76735,pos,[M+H],294.52,1.26
PC,PC 37:3,C45H84O8N1P1,843.7517,pos,[M+H],292.03,0.82
PC,PC 37:4,C45H82O8N1P1,841.73605,pos,[M+H],289.01,0.82
PC,PC 38:3,C46H86N1O8P1,858.770705,pos,[M+H],294.8,0.62
PC,PC 38:3,C46H86N1O8P1,880.752649,pos,[M+Na],296.8,0.86
PC,PC 38:4,C46H84O8N1P1,856.755055,pos,[M+H],292.22,0.47
PC,PC 38:4,C46H84O8N1P1,878.736999,pos,[M+Na],294.7,1.04
PC,PC 38:4,C46H84O8N1P1,900.745981,neg,[M+HCOO],298.54,0.92
PC,PC 38:5,C46H82O8N1P1,854.739404,pos,[M+H],289.65,0.62
PC,PC 38:5,C46H82O8N1P1,876.721349,pos,[M+Na],291.17,0.48
PC,PC 38:5,C46H82O8N1P1,898.730331,neg,[M+HCOO],296.98,0.87
PC,PC 38:6,C46H80N1O8P1,852.723754,pos,[M+H],286.72,0.74
PC,PC 38:6,C46H80N1O8P1,874.705699,pos,[M+Na],288.71,0.92
PE,PE 32:1,C37H72O8N1P1,727.630961,pos,[M+H],268.82,0.86
PE,PE 32:1,C37H72O8N1P1,749.612905,pos,[M+Na],273.68,1.37
PE,PE 32:1,C37H72O8N1P1,725.616409,neg,[M-H],261.3,1.01
PE,PE 33:1,C38H74O8N1P1,742.649965,pos,[M+H],272.03,1.36
PE,PE 33:1,C38H74O8N1P1,764.63191,pos,[M+Na],276.79,0.49
PE,PE 33:1,C38H74O8N1P1,740.635413,neg,[M-H],264.77,0.87
PE,PE 33:2,C38H72O8N1P1,740.634315,pos,[M+H],269.49,0.41
PE,PE 33:2,C38H72O8N1P1,762.61626,pos,[M+Na],274.49,0
PE,PE 33:2,C38H72O8N1P1,738.619763,neg,[M-H],262.26,1.02
PE,PE 34:1,C39H76N1O8P1,757.66897,pos,[M+H],275.14,0.74
PE,PE 34:1,C39H76N1O8P1,779.650915,pos,[M+Na],281.08,1.05
PE,PE 34:1,C39H76N1O8P1,755.654418,neg,[M-H],267.24,0.73
PE,PE 34:2,C39H74N1O8P1,755.65332,pos,[M+H],273.28,0.46
PE,PE 34:2,C39H74N1O8P1,777.635265,pos,[M+Na],277.25,0.57
PE,PE 34:2,C39H74N1O8P1,753.638768,neg,[M-H],266.18,0.51
PE,PE 34:3 - 1,C39H72N1O8P1,753.63767,pos,[M+H],268.92,1.19
PE,PE 34:3 - 1,C39H72N1O8P1,775.619615,pos,[M+Na],274.02,0.87
PE,PE 34:3 - 1,C39H72N1O8P1,751.623118,neg,[M-H],264.32,0.84
PE,PE 34:3 - 2,C39H72N1O8P1,753.63767,pos,[M+H],270.26,0.92
PE,PE 34:3 - 2,C39H72N1O8P1,775.619615,pos,[M+Na],275.5,1.32
PE,PE 34:3 - 2,C39H72N1O8P1,751.623118,neg,[M-H],264.1,0.63
PE,PE 34:4,C39H70O8N1P1,751.62202,pos,[M+H],266.12,0.9
PE,PE 34:4,C39H70O8N1P1,773.603965,pos,[M+Na],273.08,0.52
PE,PE 34:4,C39H70O8N1P1,749.607468,neg,[M-H],262.85,0.63
PE,PE 35:1,C40H78O8N1P1,772.687975,pos,[M+H],279.19,0.77
PE,PE 35:1,C40H78O8N1P1,770.673423,neg,[M-H],270.45,0.48
PE,PE 35:2 - 1,C40H76O8N1P1,770.672325,pos,[M+H],277.56,0.63
PE,PE 35:2 - 1,C40H76O8N1P1,792.65427,pos,[M+Na],279.21,1.09
PE,PE 35:2 - 1,C40H76O8N1P1,768.657773,neg,[M-H],268.67,0.73
PE,PE 35:2 - 2,C40H76O8N1P1,770.672325,pos,[M+H],275.69,1.05
PE,PE 35:2 - 2,C40H76O8N1P1,792.65427,pos,[M+Na],281.56,1.01
PE,PE 35:2 - 2,C40H76O8N1P1,768.657773,neg,[M-H],268.58,1.15
PE,PE 35:3,C40H74O8N1P1,768.656675,pos,[M+H],272.75,0.98
PE,PE 35:3,C40H74O8N1P1,790.63862,pos,[M+Na],277.89,1.46
PE,PE 35:3,C40H74O8N1P1,766.642123,neg,[M-H],267.12,1.04
PE,PE 35:4,C40H72O8N1P1,766.641025,pos,[M+H],269.9,1.22
PE,PE 35:4,C40H72O8N1P1,764.626473,neg,[M-H],265.64,1.14
PE,PE 35:5,C40H70O8N1P1,764.625375,pos,[M+H],267.23,0.94
PE,PE 35:5,C40H70O8N1P1,762.610823,neg,[M-H],264.25,1.13
PE,PE 36:1,C41H80N1O8P1,787.70698,pos,[M+H],281.74,0.95
PE,PE 36:1,C41H80N1O8P1,809.688925,pos,[M+Na],287.44,1.04
PE,PE 36:1,C41H80N1O8P1,785.692428,neg,[M-H],274.59,0.92
PE,PE 36:2,C41H78N1O8P1,785.69133,pos,[M+H],279.61,0.89
PE,PE 36:2,C41H78N1O8P1,807.673275,pos,[M+Na],284.83,0.89
PE,PE 36:2,C41H78N1O8P1,783.676778,neg,[M-H],272.24,0.78
PE,PE 36:3,C41H76N1O8P1,783.67568,pos,[M+H],276.41,0.61
PE,PE 36:3,C41H76N1O8P1,805.657625,pos,[M+Na],281.64,0.85
PE,PE 36:3,C41H76N1O8P1,781.661128,neg,[M-H],269.94,0.47
PE,PE 36:4,C41H74N1O8P1,781.66003,pos,[M+H],273.75,0.6
PE,PE 36:4,C41H74N1O8P1,803.641975,pos,[M+Na],278.08,0.95
PE,PE 36:4,C41H74N1O8P1,779.645478,neg,[M-H],268.34,0.6
PE,PE 36:5,C41H72N1O8P1,779.64438,pos,[M+H],270.9,0.66
PE,PE 36:5,C41H72N1O8P1,801.626325,pos,[M+Na],274.52,0.43
PE,PE 36:5,C41H72N1O8P1,777.629828,neg,[M-H],266.84,0.73
PE,PE 36:6,C41H70N1O8P1,777.62873,pos,[M+H],267.35,0.7
PE,PE 36:6,C41H70N1O8P1,799.610675,pos,[M+Na],271.49,0.83
PE,PE 36:6,C41H70N1O8P1,775.614178,neg,[M-H],266.06,0.7
PG,PG 34:1,C40H77O10P1,806.693455,pos,[M+NH4],286.72,0.6
PG,PG 34:1,C40H77O10P1,787.652354,neg,[M-H],274.18,0.6
PG,PG 34:2,C40H75O10P1,804.677805,pos,[M+NH4],283.96,0.78
PG,PG 34:2,C40H75O10P1,785.636703,neg,[M-H],272.5,0.62
PI,PI 34:1,C43H81O13P1,897.719564,pos,[M+NH4],297.59,0.92
PI,PI 34:1,C43H81O13P1,902.674959,pos,[M+Na],294.11,1.46
PI,PI 34:1,C43H81O13P1,878.678462,neg,[M-H],288.36,1.16
PI,PI 34:2,C43H79O13P1,895.703914,pos,[M+NH4],294.26,1.57
PI,PI 34:2,C43H79O13P1,900.659309,pos,[M+Na],292.09,1.34
PI,PI 34:2,C43H79O13P1,876.662812,neg,[M-H],286.88,0.51
PI,PI 36:1,C45H85O13P1,908.716472,neg,[M-H],294.13,0.87
PI,PI 36:2,C45H83O13P1,925.741923,pos,[M+NH4],300.04,1.45
PI,PI 36:2,C45H83O13P1,930.697318,pos,[M+Na],297.65,0
PI,PI 36:2,C45H83O13P1,906.700822,neg,[M-H],293.37,0.71
PI,PI 36:3,C45H81O13P1,923.726273,pos,[M+NH4],298.87,1.56
PI,PI 36:3,C45H81O13P1,904.685172,neg,[M-H],291.43,1.06
PS,PS 34:1,C40H76N1O10P1,802.662154,pos,[M+H],281.92,0.86
PS,PS 34:1,C40H76N1O10P1,824.644099,pos,[M+Na],281.36,1.04
PS,PS 34:1,C40H76N1O10P1,800.647602,neg,[M-H],276.96,0.76
PS,PS 34:2,C40H74N1O10P1,800.646504,pos,[M+H],278.81,0.66
PS,PS 34:2,C40H74N1O10P1,822.628449,pos,[M+Na],280.65,0.6
PS,PS 34:2,C40H74N1O10P1,798.631952,neg,[M-H],275.81,0.56
PS,PS 34:3,C40H72N1O10P1,796.616302,neg,[M-H],275.08,1.25
PS,PS 36:1,C42H80O10N1P1,832.700164,pos,[M+H],287.75,0.89
PS,PS 36:1,C42H80O10N1P1,854.682109,pos,[M+Na],288.53,0.92
PS,PS 36:1,C42H80O10N1P1,830.685612,neg,[M-H],283.47,0.73
PS,PS 36:2,C42H78N1O10P1,830.684514,pos,[M+H],284.34,1.05
PS,PS 36:2,C42H78N1O10P1,852.666459,pos,[M+Na],287.73,1.13
PS,PS 36:2,C42H78N1O10P1,828.669962,neg,[M-H],281.48,0.44
PS,PS 36:3,C42H76N1O10P1,828.668864,pos,[M+H],282.33,0.59
PS,PS 36:3,C42H76N1O10P1,850.650809,pos,[M+Na],283.9,1.21
PS,PS 36:3,C42H76N1O10P1,826.654312,neg,[M-H],280.71,0.57
PS,PS 36:4,C42H74O10N1P1,826.653214,pos,[M+H],278.77,0.86
PS,PS 36:4,C42H74O10N1P1,848.635159,pos,[M+Na],283.51,1.66
PS,PS 36:4,C42H74O10N1P1,824.638662,neg,[M-H],279.15,1.04
